content,rate,date
['빠른배송 깔끔한포장 좋아요'],5,22.04.07.
['일단 강력하게 붙는듯합니다. 오래가길 …'],5,22.03.16.
"['빠른배송감사합니다. ', '앞으로 잘사용할께요. ', '많이파세요.']",5,22.03.19.
['배송도 빠르고 좋아요~'],5,22.03.30.
['배송도 빠르고  아직 써보기전이지만  포장도 깔끔하니 마음에듭니다'],5,22.04.10.
['사용전이라 일단 별하나 비워둡니다 ^^;;'],4,22.03.15.
['성능 최고입니다 👍'],5,22.04.06.
['당일 배송 감사합니다.'],5,22.04.04.
['효과가 있는지 잘 모르겠어요...'],2,22.03.29.
['몬스터겔 언제나 믿고 씁니다'],5,22.03.27.
['벽에 붙힌 공유기가 자꾸 떼져서 주문해봤어요 안떨어졌음 좋겠네요ㅠㅠ'],5,22.02.27.
['만족합니다.. 접착력 좋음'],4,22.03.01.
['좋아요 가격이 좀 저렴하면 좋게ㅣㅆ어요'],5,22.03.23.
['아직사용을 못했지만 다른게 믿음이 가니까 이것도 뭐 좋겠지요^^'],5,22.03.11.
"['더단단히고정된다고해서샀어요 ', '매트고정했고', '청소기로 청소해도  끄떡없네요']",5,22.02.13.
['냄새가  너무 많이나서  별로예요'],3,22.03.09.
"['고정력이 좋네요!', '더 잘 붙어서 오래가는것 같아요']",5,22.02.10.
['잘 붙어 있네요 ㅎㅎ'],5,22.03.14.
['아무래도 저온이나 요철있는 면에는 사용하는것이 더 좋을것같아 구매했습니다. 좋네요'],5,22.02.04.
['감사합니다 많이 파세요'],5,22.03.03.
['빠른배송 깔끔한포장 좋아요'],5,22.04.07.
['일단 강력하게 붙는듯합니다. 오래가길 …'],5,22.03.16.
"['빠른배송감사합니다. ', '앞으로 잘사용할께요. ', '많이파세요.']",5,22.03.19.
['배송도 빠르고 좋아요~'],5,22.03.30.
['배송도 빠르고  아직 써보기전이지만  포장도 깔끔하니 마음에듭니다'],5,22.04.10.
['사용전이라 일단 별하나 비워둡니다 ^^;;'],4,22.03.15.
['성능 최고입니다 👍'],5,22.04.06.
['당일 배송 감사합니다.'],5,22.04.04.
['효과가 있는지 잘 모르겠어요...'],2,22.03.29.
['몬스터겔 언제나 믿고 씁니다'],5,22.03.27.
['벽에 붙힌 공유기가 자꾸 떼져서 주문해봤어요 안떨어졌음 좋겠네요ㅠㅠ'],5,22.02.27.
['만족합니다.. 접착력 좋음'],4,22.03.01.
['좋아요 가격이 좀 저렴하면 좋게ㅣㅆ어요'],5,22.03.23.
['아직사용을 못했지만 다른게 믿음이 가니까 이것도 뭐 좋겠지요^^'],5,22.03.11.
"['더단단히고정된다고해서샀어요 ', '매트고정했고', '청소기로 청소해도  끄떡없네요']",5,22.02.13.
['냄새가  너무 많이나서  별로예요'],3,22.03.09.
"['고정력이 좋네요!', '더 잘 붙어서 오래가는것 같아요']",5,22.02.10.
['잘 붙어 있네요 ㅎㅎ'],5,22.03.14.
['아무래도 저온이나 요철있는 면에는 사용하는것이 더 좋을것같아 구매했습니다. 좋네요'],5,22.02.04.
['감사합니다 많이 파세요'],5,22.03.03.
"['상품잘받았습니다', '배송빨라요~']",5,22.02.09.
['빠른 배송 언제나 믿고 붙이는 몬스타게루!'],5,22.02.25.
['그냥 그남  쓸 만해요...'],4,22.03.02.
['좋아요~~~~~~~'],5,22.02.12.
['배송 빨라 좋았는데 아직 사용은 안해봤어요. 잘 붙을거라 믿고 잘 쓰겠습니다.'],5,22.01.12.
['잘 받았습니다 감사합니다'],5,22.01.26.
['유지력기대해보렵니다'],5,22.02.15.
['빠른 배송감사합니다!'],5,22.01.24.
"['잘 받았습니다', '아직 미사용 입니다']",5,22.01.21.
['좋은 제품 잘 사용하고 있습니다.'],5,22.02.10.
['배송도 빠르고 좋아요'],5,22.01.20.
['상품 잘 받았습니다.'],5,22.01.17.
['이게 본드가 아니었네요 실크벽지를 닦고 붙여봤는데 튼튼합니다'],5,22.01.22.
['확실히 프라이머 사용하니 벽에는 잘붙어요'],5,22.01.30.
['좋은 제품 잘 받았습니다.'],5,22.01.11.
['적당한 것 같아요 잘 붙어 있어요'],5,21.12.31.
['아직 사용 전인데 다른 제품들 일단 맘에 들어서 이것도 잘 사용할것 같아요.'],5,22.01.12.
['거진 1회용이네요 너무 비싸다는 느낌이 많이 듭니다'],2,21.12.17.
"['애들 신발주머니 걸려고 붙여 놨는데, 강력접착제나 글루건까지도 써봤는데, 계속 떨어지네요;;', '프라이머 써서 몬스터겔로 붙였는데, 아직까지 잘 붙어 있습니다 ㅎ']",5,21.12.02.
['빠른배송 감사합니다'],5,22.01.13.
['잘사용하게습니다 수고하세요 빠른 배송 감사합니다'],5,21.12.10.
['늘 쓰던제품이라 재구매합니다.'],5,21.12.17.
['배송도 빠르고 너무 좋아요'],5,21.12.10.
['잘 받았습니다...'],5,22.01.05.
['몬스타 겔을 써도 계속 떨어져서 몬스타 겔만 바꾸다가 겔도 다 떨어지고 -- 너무 짜증나서 구매했는데 진짜 너무 좋아요 바른 부분이 엄청 매끄러워지는데 겔 붙이면 진짜 안떨어져요!!'],5,21.11.25.
['전에꺼가 안붙어서 두문해봤어요'],3,21.12.26.
['좋은 상품 빠른배송 감사합니다.'],5,21.12.26.
